ID,CODIGO,PAIS,ALIMENTO,TIPO,CEPA,PARTE,PROCESO,GRADO,MENSAJE,GENERO,ESPECIE,VARIEDAD,NOMBRE_ALT,NOMBRE_COMERCIAL,REFERENCIA,NOMBRE_CORTO,WATER,PROCNT,XN,FAT,ASH,FIBTG,CHOCDF,CHOAVL,ENERC,ENERC_KJ,FASAT,FAMS,FAPU,CHOLE,NA,K,CA,P,FE,ZN,VITA,CARTBEQ,THIA,RIBF,NIA,VITC
2643,D015,Bolivia,Aceite,de hígado,de raya,,,,,Raja,punctata,,,,,"Aceite, de hígado, de raya",0,"0,3",,"99,6",0,0,"0,1","0,1",898,"3757,23",,,,,,,0,1,"0,1",,172,,"0,02","0,24","0,77",0
2644,D016,Argentina,Aceite,de maíz,,,,,,,,,,Arcor,H,"Aceite, de maíz",0,0,,100,0,0,0,0,900,"3765,6","14,4","33,6","47,7",,,,,,,,,,,,,
2645,D017,Argentina,Aceite,de maíz,,,,,,,,,,Cocinero,F,"Aceite, de maíz",0,0,,100,0,0,0,0,900,"3765,6",16,"37,8","46,6",,,,,,,,,,,,,
2646,D018,Argentina,Aceite,de maíz,,,,,,,,,,Mazzola,K,"Aceite, de maíz",0,0,,100,0,0,0,0,900,"3765,6","15,2","31,8","48,7",,,,,,,,,,,,,
2647,D019,México,Aceite,de maíz,,,,,,Zea,mays l.,,,,,"Aceite, de maíz",0,0,,100,0,0,0,0,900,"3765,6","12,7","24,2",58,0,0,0,0,0,0,0,0,,0,0,0,0
2648,D020,Perú,Aceite,de maíz,,,,,,,,,,,,"Aceite, de maíz",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2649,D021,Perú,Aceite,de maní,,,,,,,,,,,,"Aceite, de maní",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2650,D022,Argentina,Aceite,de oliva,,,,,,,,,,Cocinero,F,"Aceite, de oliva",0,0,,100,0,0,0,0,900,"3765,6",17,"71,1","12,4",,,,,,,,,,,,,
2651,D023,México,Aceite,de oliva,,,,,,Olea,europaea,,,,,"Aceite, de oliva",0,0,,100,0,0,0,0,900,"3765,6","13,5","72,5","7,9",0,0,,1,"1,22","0,4",0,0,,0,0,0,0
2652,D024,Perú,Aceite,de olivo,,,,,,,,,,,,"Aceite, de olivo",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2653,D025,Perú,Aceite,de palma,,,,,,,,,,,,"Aceite, de palma",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2654,D026,Perú,Aceite,de pescado,,,hidrogenado,,,,,,,,,"Aceite, de pescado, hidrogenado",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2655,D027,México,Aceite,de soya,,,,,,Glycine,soya,,,,,"Aceite, de soya",0,0,,100,0,0,0,0,900,"3765,6","14,4","22,8",51,0,0,0,0,"0,25",0,0,0,,0,0,0,0
2656,D028,Perú,Aceite,de soya,,,,,,,,,,,,"Aceite, de soya",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,,,,,,,,,,
2657,D101,Bolivia,Aceite,de soya y girasol,mezcla,semillas,prensado,liquido,,,,,,,Lab.Nutricion INLASA,"Aceite, de soya y girasol ","0,05",0,,100,,0,"-0,05",0,900,"3765,6",,,,,,,,,,,"11,9",,,,,
2658,D029,Argentina,Aceite,de uva,,,,,,,,,,Cocinero,F,"Aceite, de uva",0,0,,100,0,0,0,0,900,"3765,6",11,"23,6","65,6",,,,,,,,,,,,,
2659,D030,Argentina,Aceite,mezcla,85% girasol 15% oliva ,,,,,,,,,Lira,F,"Aceite, mezcla",0,0,,100,0,0,0,0,900,"3765,6",12,"33,6","54,6",,,,,,,,,,,,,
2660,D031,Argentina,Aceite,mezcla,85% girasol 15% oliva,,,,,,,,,Patito,F,"Aceite, mezcla",0,0,,100,0,0,0,0,900,"3765,6",11,"27,6","61,1",,,,,,,,,,,,,
2661,D032,Bolivia,Aceite,vegetal,mezcla,semilla,,,,,,,,,,"Aceite, vegetal","0,1","0,6",,"99,3",0,0,0,0,"896,1","3749,28",,,,,,,5,2,"0,4",,3,,"0,03","0,1","0,21",0
2662,D033,Bolivia,Aceite,vegetal,,semilla,,,,,,,,,,"Aceite, vegetal","0,1","0,6",,"99,3",0,0,0,0,"896,1","3749,28",,,,,,,5,2,"0,4",,2,,"0,02","0,09","0,26",0
2663,D034,Colombia,Aceite,vegetal,,,,,,,,,,,,"Aceite, vegetal",0,0,,100,0,0,0,0,900,"3765,6",,,,,,,0,0,0,,0,,0,0,0,0
2664,D035,Bolivia,Aceite,vegetal,soya y algodón,semilla,,,,,,,,,,"Aceite, vegetal, soya-algodón","0,2","0,5",,"99,3",0,0,0,0,"895,7","3747,61",,,,,,,5,3,"0,7",,3,,"0,05","0,08","0,38",0
2665,D036,Bolivia,Aceite,vegetal,soya y algodón,semilla,,,,,,,,,,"Aceite, vegetal, soya-algodón","0,2","0,6",,"99,2",0,0,0,0,"895,2","3745,52",,,,,,,5,3,"0,4",,4,,"0,01","0,05","0,26",0
2666,D102,Bolivia,Aceite ,de girasol,,semillas,prensado,liquido,,Helianthus ,annus,,,,Lab.Nutricion INLASA,"Aceite, de girasol ","0,33",0,,"99,67",,0,0,0,"897,03","3753,17",,,,,,,,,,,,,,,,
